,number,T_C,type,Sample Name,"Specific ID (LL8 - lab code for F8 Mid July, LL7- lab code for Aug 1st, LL4- lab code for May 30th)","Na2O (wt%, PEC-corr) MI","Al2O3 (wt%, PEC-corr) MI","P2O5 (wt%, PEC-corr) MI","CaO (wt%, PEC-corr) MI","K2O (wt%, PEC-corr) MI","TiO2 (wt%, PEC-corr) MI","SiO2 (wt%, PEC-corr) MI","MgO (wt%, PEC-corr) MI","FeO (wt%, PEC-corr) MI","MnO (wt%, PEC-corr) MI","H2O (wt%) (wt%, PEC-corr) MI",Total CO2 (PEC-corrected) ppm,S_MI_PEC EPMA,Fo content (molar),MgO (wt%) Ol,SiO2 (wt%) Ol,FeO (wt%) Ol,Al2O3 (wt%) Ol,CaO (wt%) Ol,MnO (wt%) Ol,NiO (wt%) Ol
65,16,1284.7469999999998,MI,LL8_202_c,Fissure 8 (Mid July),1.93,11.32,0.18,9.84,0.34,2.03,49.02,13.47,11.33,0.18,0.5,292.0,594.9053753,0.89,47.83,40.72,10.82,0.05,0.23,0.15,0.39
66,29,1221.4319999999998,MI,LL8_232,Fissure 8 (Mid July),2.35,12.11,0.22,10.41,0.37,2.15,50.19,10.32,11.34,0.16,0.5,578.0,713.3817613,0.86,45.68,40.27,13.7,0.04,0.24,0.19,0.35
67,17,1278.9180000000001,MI,LL8_243_b,Fissure 8 (Mid July),2.14,11.86,0.19,9.56,0.31,1.92,48.99,13.18,11.33,0.17,0.5,344.0,597.6932825,0.89,47.39,39.85,10.96,0.05,0.22,0.15,0.39
68,67,1168.167,MI,LL8_249a,Fissure 8 (Mid July),2.2,12.89,0.25,11.23,0.4,2.42,51.01,7.67,11.33,0.21,0.5,10.0,0.0,0.81,42.46,39.6,17.77,0.03,0.29,0.26,0.22
69,68,1169.373,MI,LL8_249b,Fissure 8 (Mid July),2.18,12.88,0.24,11.08,0.41,2.38,51.17,7.73,11.37,0.19,0.5,181.0,0.0,0.81,42.46,39.6,17.77,0.03,0.29,0.26,0.22
70,69,1168.368,MI,LL8_249c,Fissure 8 (Mid July),2.3,13.03,0.22,10.54,0.5,2.54,51.45,7.68,11.34,0.15,0.5,315.0,0.0,0.81,42.46,39.6,17.77,0.03,0.29,0.26,0.22
71,70,1168.368,MI,LL8_249d,Fissure 8 (Mid July),2.25,13.07,0.25,10.82,0.43,2.52,51.23,7.68,11.34,0.16,0.5,235.0,0.0,0.81,42.46,39.6,17.77,0.03,0.29,0.26,0.22
72,27,1242.3359999999998,MI,LL8_280,Fissure 8 (Mid July),1.98,11.89,0.25,10.16,0.43,2.28,49.76,11.36,11.33,0.19,0.5,743.0,740.4757952,0.87,46.57,40.46,12.74,0.04,0.23,0.16,0.31
73,93,1192.2869999999998,MI,LL8_3001,Fissure 8 (Mid July),2.23,13.4,0.42,11.14,0.49,2.22,49.33,8.87,11.33,0.18,0.5,158.0,0.0,0.84,43.5,39.71,15.25,0.05,0.29,0.21,0.33
74,28,1231.884,MI,LL8_300R,Fissure 8 (Mid July),2.19,12.14,0.33,10.68,0.45,2.42,49.06,10.84,11.34,0.18,0.5,288.0,812.4837368,0.86,46.03,40.04,12.9,0.05,0.23,0.17,0.29
75,20,1281.129,MI,LL8_302,Fissure 8 (Mid July),2.04,10.61,0.25,9.86,0.41,2.24,49.45,13.29,11.34,0.17,0.5,716.0,622.8480656,0.89,48.31,41.11,11.07,0.05,0.24,0.14,0.39
76,26,1276.7069999999999,MI,LL8_400_a,Fissure 8 (Mid July),2.14,11.31,0.27,9.57,0.41,2.18,49.2,13.07,11.34,0.17,0.5,638.0,684.0279385,0.88,47.69,40.24,11.11,0.04,0.23,0.15,0.38
77,99,1278.9180000000001,MI,LL8_400_b,Fissure 8 (Mid July),2.08,10.77,0.26,9.89,0.34,2.1,49.51,13.18,11.34,0.19,0.5,28.0,740.6704357,0.88,47.8,40.44,11.07,0.05,0.23,0.14,0.37
